,loan_amnt,int_rate,annual_inc
0,5000.0,10.65,24000.0
1,2500.0,15.27,30000.0
2,2400.0,15.96,12252.0
3,10000.0,13.49,49200.0
4,3000.0,12.69,80000.0
5,5000.0,7.9,36000.0
6,7000.0,15.96,47004.0
7,3000.0,18.64,48000.0
8,5600.0,21.28,40000.0
9,5375.0,12.69,15000.0
10,6500.0,14.65,72000.0
11,12000.0,12.69,75000.0
12,9000.0,13.49,30000.0
13,3000.0,9.91,15000.0
14,10000.0,10.65,100000.0
15,1000.0,16.29,28000.0
16,10000.0,15.27,42000.0
17,3600.0,6.03,110000.0
18,6000.0,11.71,84000.0
19,9200.0,6.03,77385.19
20,20250.0,15.27,43370.0
21,21000.0,12.42,105000.0
22,10000.0,11.71,50000.0
23,10000.0,11.71,50000.0
24,6000.0,11.71,76000.0
25,15000.0,9.91,92000.0
26,15000.0,14.27,60000.0
27,5000.0,16.77,50004.0
28,4000.0,11.71,106000.0
29,8500.0,11.71,25000.0
30,4375.0,7.51,17108.0
31,31825.0,7.9,75000.0
32,10000.0,15.96,29120.0
33,5000.0,8.9,24044.0
34,7000.0,15.96,34000.0
35,12400.0,10.65,41000.0
36,10800.0,9.91,55596.0
37,15000.0,7.9,45000.0
38,6000.0,12.42,36852.0
39,12500.0,12.69,27000.0
40,9600.0,7.51,68004.0
41,12000.0,7.9,62300.0
42,3000.0,18.25,65000.0
43,4400.0,16.77,55000.0
44,6000.0,6.03,45600.0
45,14000.0,9.91,80000.0
46,5000.0,8.9,100000.0
47,10000.0,10.65,27000.0
48,10000.0,6.03,60000.0
49,11000.0,6.62,70000.0
50,15000.0,9.91,80000.0
51,25600.0,9.91,110000.0
52,7000.0,10.65,40000.0
53,12000.0,15.96,50000.0
54,12000.0,9.91,46000.0
55,21000.0,19.91,50000.0
56,16000.0,19.91,81000.0
57,10000.0,12.42,39000.0
58,10000.0,10.65,51400.0
59,7100.0,16.77,33000.0
60,13000.0,12.69,30000.0
61,17500.0,17.27,40000.0
62,17675.0,14.65,50000.0
