,grade
0,B
1,C
2,C
3,C
4,B
5,A
6,C
7,E
8,F
9,B
10,C
11,B
12,C
13,B
14,B
15,D
16,C
17,A
18,B
19,A
20,C
21,B
22,B
23,B
24,B
25,B
26,C
27,D
28,B
29,B
30,A
31,A
32,C
33,A
34,C
35,B
36,B
37,A
38,B
39,B
40,A
41,A
42,D
43,D
44,A
45,B
46,A
47,B
48,A
49,A
50,B
51,B
52,B
53,C
54,B
55,E
56,E
57,B
58,B
59,D
60,B
61,D
62,C
63,D
64,B
65,B
66,D
67,C
68,F
69,C
70,D
71,D
72,C
73,D
74,A
75,C
76,C
77,F
78,A
79,E
80,D
81,C
82,B
83,A
84,B
85,B
86,D
87,B
88,D
89,C
90,B
91,B
92,E
93,B
94,B
95,F
96,B
97,D
98,A
99,B
100,B
101,D
102,A
103,B
104,A
105,D
106,B
107,C
108,C
109,B
110,A
111,A
112,F
113,B
114,D
115,B
116,A
117,B
118,A
119,B
120,C
121,B
122,B
123,B
124,E
125,A
126,C
127,E
128,A
129,A
130,B
131,C
132,A
133,C
134,A
135,A
136,B
137,A
138,B
139,A
140,E
141,B
142,C
143,A
144,B
145,B
146,E
147,E
148,B
149,D
150,C
151,B
152,D
153,C
154,B
155,C
156,C
157,A
158,B
159,B
160,C
161,D
162,B
163,A
164,C
165,B
166,C
167,B
168,A
169,B
170,B
171,C
172,C
173,B
174,B
175,C
176,D
177,F
178,B
179,B
180,B
181,B
182,D
183,D
184,C
185,B
186,B
187,C
188,B
189,B
190,B
191,B
192,D
193,D
194,A
195,C
196,B
197,B
198,B
199,C
200,C
201,B
202,C
203,B
204,D
205,B
206,A
207,C
208,B
209,E
210,C
211,C
212,C
213,C
214,A
215,B
216,C
217,D
218,D
219,B
220,B
221,C
222,C
223,G
224,A
225,D
226,B
227,A
228,D
229,B
230,B
231,B
232,A
233,B
234,A
235,A
236,A
237,F
238,C
239,B
240,B
241,B
242,D
243,C
244,B
245,B
246,A
247,B
248,B
249,D
250,E
251,B
252,A
253,A
254,B
255,B
256,A
257,B
258,B
259,A
260,B
261,C
262,C
263,C
264,A
265,B
266,A
267,B
268,E
269,A
270,C
271,B
272,A
273,B
274,A
275,A
276,A
277,A
278,A
279,B
280,C
281,A
282,A
283,B
284,A
285,C
286,C
287,B
288,B
289,B
290,A
291,D
292,B
293,B
294,B
295,A
296,B
297,B
298,B
299,D
300,B
301,D
302,B
303,C
304,E
305,D
306,E
307,A
308,B
309,B
310,C
311,A
312,B
313,E
314,E
315,B
316,A
317,C
318,D
319,D
320,C
321,C
322,B
323,D
324,B
325,A
326,E
327,E
328,B
329,C
330,C
331,B
332,A
333,B
334,B
335,D
336,D
337,C
338,B
339,B
340,A
341,B
342,C
343,C
344,B
345,D
346,B
347,E
348,B
349,C
350,B
351,A
352,D
353,A
354,A
355,C
356,A
357,C
358,A
359,C
360,A
361,E
362,E
363,C
364,C
365,B
366,B
367,C
368,B
369,A
370,D
371,B
372,B
373,B
374,B
375,E
376,A
377,A
378,C
379,A
380,B
381,B
382,B
383,B
384,B
385,A
386,B
387,B
388,A
389,B
390,D
391,D
392,A
393,B
394,B
395,B
396,C
397,D
398,C
399,C
400,A
401,C
402,C
403,F
404,C
405,C
406,B
407,D
408,F
409,A
410,C
